Dimensions	build	remove	find	box	bar	large	medium	small
50	0.278	0.528	0.686	0.769	0.231	0.691	0.750	0.400
100	0.316	0.463	0.784	0.231	0.788	0.764	0.500	0.700
200	0.342	0.444	0.745	0.788	0.385	0.855	0.500	0.850
300	0.380	0.519	0.706	0.808	0.462	0.855	0.500	0.850
