LR	16	32	64	128	256	512	1024	2048	4096
1	0.3333	0.1032	0.0974	0.1032	0.0980	0.1032	0.1028	0.0892	0.1009	
0.1	0.6781	0.7126	0.4855	0.0987	0.1009	0.0974	0.0980	0.1009	0.0958	
0.01	0.7197	0.8540	0.8769	0.8799	0.8725	0.6754	0.0892	0.1135	0.1009	
0.001	0.3724	0.4410	0.7568	0.8126	0.8362	0.8654	0.8640	0.8056	0.7913	
0.0001	0.1574	0.1577	0.2990	0.4422	0.6067	0.7034	0.7645	0.8063	0.8105	
0.00001	0.0957	0.0684	0.1577	0.1626	0.2174	0.2867	0.4777	0.5950	0.6625	
